Geography,Geographic Area Name,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars),Year
0400000US40,Oklahoma,795,1231,403,2019
0400000US41,Oregon,1328,1750,557,2019
0400000US42,Pennsylvania,1005,1477,534,2019
0400000US44,Rhode Island,1491,1837,736,2019
0400000US45,South Carolina,844,1250,372,2019
0400000US46,South Dakota,912,1371,490,2019
0400000US47,Tennessee,851,1264,387,2019
0400000US48,Texas,1103,1675,527,2019
0400000US49,Utah,1303,1605,431,2019
0400000US50,Vermont,1222,1606,668,2019
0400000US51,Virginia,1311,1792,478,2019
0400000US53,Washington,1509,1951,604,2019
0400000US54,West Virginia,533,1052,321,2019
0400000US55,Wisconsin,1046,1412,545,2019
0400000US56,Wyoming,1005,1417,419,2019
0400000US72,Puerto Rico,255,828,142,2019
0400000US01,Alabama,760,1223,379,2020
0400000US02,Alaska,1403,1926,619,2020
0400000US04,Arizona,1124,1544,440,2020
0400000US05,Arkansas,737,1147,372,2020
0400000US06,California,1912,2523,694,2020
0400000US08,Colorado,1558,1962,551,2020
0400000US09,Connecticut,1660,2083,926,2020
0400000US10,Delaware,1175,1585,463,2020
0400000US11,District of Columbia,2196,2639,748,2020
0400000US12,Florida,1105,1616,548,2020
0400000US13,Georgia,1112,1501,457,2020
0400000US15,Hawaii,1790,2584,596,2020
0400000US16,Idaho,1048,1425,419,2020
0400000US17,Illinois,1234,1717,666,2020
0400000US18,Indiana,895,1195,437,2020
0400000US19,Iowa,957,1328,521,2020
0400000US20,Kansas,969,1446,534,2020
0400000US21,Kentucky,825,1227,405,2020
0400000US22,Louisiana,807,1349,372,2020
0400000US23,Maine,1034,1464,521,2020
0400000US24,Maryland,1631,2013,638,2020
0400000US25,Massachusetts,1840,2323,871,2020
0400000US26,Michigan,958,1348,521,2020
0400000US27,Minnesota,1246,1667,590,2020
0400000US28,Mississippi,672,1200,356,2020
0400000US29,Missouri,946,1316,465,2020
0400000US30,Montana,959,1558,476,2020
0400000US31,Nebraska,1076,1491,562,2020
0400000US32,Nevada,1281,1625,456,2020
0400000US33,New Hampshire,1535,2004,860,2020
0400000US34,New Jersey,1899,2458,1081,2020
0400000US35,New Mexico,830,1354,386,2020
0400000US36,New York,1454,2199,813,2020
0400000US37,North Carolina,978,1387,420,2020
0400000US38,North Dakota,874,1488,494,2020
0400000US39,Ohio,953,1293,503,2020
0400000US40,Oklahoma,817,1295,431,2020
0400000US41,Oregon,1385,1835,595,2020
0400000US42,Pennsylvania,1038,1505,544,2020
0400000US44,Rhode Island,1602,1932,762,2020
0400000US45,South Carolina,855,1289,382,2020
0400000US46,South Dakota,949,1415,525,2020
0400000US47,Tennessee,891,1333,398,2020
0400000US48,Texas,1192,1765,567,2020
0400000US49,Utah,1350,1671,480,2020
0400000US50,Vermont,1264,1664,729,2020
0400000US51,Virginia,1361,1818,494,2020
0400000US53,Washington,1613,2110,667,2020
0400000US54,West Virginia,576,1071,338,2020
0400000US55,Wisconsin,1076,1464,574,2020
0400000US56,Wyoming,1043,1490,456,2020
0400000US72,Puerto Rico,259,823,148,2020
0400000US01,Alabama,772,1130,346,2010
0400000US02,Alaska,1363,1772,499,2010
0400000US04,Arizona,1119,1442,366,2010
0400000US05,Arkansas,657,987,311,2010
0400000US06,California,1790,2242,452,2010
0400000US08,Colorado,1327,1590,387,2010
0400000US09,Connecticut,1704,2068,777,2010
0400000US10,Delaware,1242,1569,428,2010
0400000US11,District of Columbia,1869,2297,546,2010
0400000US12,Florida,1087,1505,470,2010
0400000US13,Georgia,1106,1390,381,2010
0400000US15,Hawaii,1618,2240,475,2010
0400000US16,Idaho,923,1187,315,2010
0400000US17,Illinois,1254,1655,534,2010
0400000US18,Indiana,867,1090,344,2010
0400000US19,Iowa,819,1140,392,2010
0400000US20,Kansas,882,1239,419,2010
0400000US21,Kentucky,741,1072,311,2010
0400000US22,Louisiana,705,1163,320,2010
0400000US23,Maine,949,1289,433,2010
0400000US24,Maryland,1672,2016,555,2010
0400000US25,Massachusetts,1650,2036,654,2010
0400000US26,Michigan,969,1288,442,2010
0400000US27,Minnesota,1180,1503,438,2010
0400000US28,Mississippi,650,1043,331,2010
0400000US29,Missouri,876,1182,366,2010
0400000US30,Montana,794,1217,350,2010
0400000US31,Nebraska,893,1218,429,2010
0400000US32,Nevada,1366,1638,429,2010
0400000US33,New Hampshire,1492,1853,668,2010
0400000US34,New Jersey,1907,2370,909,2010
0400000US35,New Mexico,794,1202,303,2010
