STATE,NAME,Year,BIRTHS,DEATHS,NETMIG,POPESTIMATE,Total exemptions,Median AGI,Mean AGI,AveragePrice,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars)
33,New Hampshire,2012,12374,10514,2541,1324677,1184368,44070,71909,212571,1466,1828,716
33,New Hampshire,2013,12598,10885,1013,1327272,1181182,45526,71691,238054,1403,1778,725
33,New Hampshire,2014,12214,11154,6045,1334257,1180058,47145,75642,263863,1434,1828,745
33,New Hampshire,2015,12375,11990,2966,1337480,1183687,48656,77923,287281,1458,1828,767
33,New Hampshire,2016,12381,11836,5722,1343694,1187217,49593,80079,292462,1440,1821,743
33,New Hampshire,2017,12204,12348,6887,1350395,1192820,51491,83678,281425,1477,1874,769
33,New Hampshire,2019,12037,12576,6240,1360783,1184679,53023,86877,251170,1534,1963,819
33,New Hampshire,2020,12016,13114,6557,1366275,1195069,54073,91342,249916,1535,2004,860
34,New Jersey,2010,26548,17107,-1731,8799451,7815472,44735,78126,210468,1907,2370,909
34,New Jersey,2011,106695,71059,-6554,8828552,7797539,45159,79704,234765,1918,2397,936
34,New Jersey,2012,104516,69003,-18211,8845671,7775029,46492,84547,266832,1884,2342,930
34,New Jersey,2013,103463,72450,-18839,8857821,7785768,47321,84322,301584,1820,2296,945
34,New Jersey,2014,103333,70503,-23446,8867277,7767893,48555,88544,335525,1831,2313,959
34,New Jersey,2015,103111,72550,-27715,8870312,7794892,49749,90541,376001,1854,2349,988
34,New Jersey,2016,103023,71179,-28652,8873584,7805589,50490,91389,398798,1848,2343,988
34,New Jersey,2017,101476,74763,-12149,8888147,7843446,52154,95764,390060,1848,2348,1001
34,New Jersey,2019,100471,76740,-24239,8891258,7796233,52215,96276,331733,1890,2413,1043
34,New Jersey,2020,99603,81630,-26949,8882371,7814322,51129,96314,322018,1899,2458,1081
35,New Mexico,2010,6662,3834,2501,2064614,1708270,29364,47595,125958,794,1202,303
35,New Mexico,2011,27799,16367,4675,2080707,1699750,29878,48180,131538,785,1216,307
35,New Mexico,2012,27035,16466,-3450,2087715,1685704,30843,51190,139220,760,1193,311
35,New Mexico,2013,26731,16789,-4887,2092833,1677368,31405,50881,149056,745,1193,318
35,New Mexico,2014,26359,17138,-11892,2090236,1673317,32184,53454,161775,767,1195,324
35,New Mexico,2015,26037,17631,-8560,2090071,1667967,32596,53458,181469,771,1214,340
35,New Mexico,2016,25216,18136,-4548,2092555,1650184,32862,53842,203668,752,1210,339
35,New Mexico,2017,24179,18527,-5331,2092844,1652908,33791,55484,211898,743,1244,340
35,New Mexico,2019,23101,18868,1663,2099634,1694036,32828,56433,195616,759,1269,350
35,New Mexico,2020,22671,19912,3908,2106319,1665341,33577,56507,189543,830,1354,386
36,New York,2010,61404,35115,-3628,19399956,16275814,36378,71938,174316,1362,1963,665
36,New York,2011,243117,149781,6647,19499921,16294475,36718,73466,193415,1368,1977,685
36,New York,2012,239907,146887,-18021,19574362,16327424,37495,79724,216866,1371,1967,683
36,New York,2013,239882,152565,-34500,19626488,16387307,38227,78390,246779,1339,1956,679
36,New York,2014,237033,148863,-61105,19653431,16400004,39520,83945,270624,1362,1982,709
36,New York,2015,239348,153901,-81753,19657321,16460156,40769,86251,303734,1381,2009,719
36,New York,2016,235792,151604,-105330,19636391,16461146,41698,84762,330082,1358,2020,703
36,New York,2017,231207,155117,-118722,19593849,16519992,43430,90784,333984,1379,2036,726
36,New York,2019,223378,162158,-141988,19463131,16616720,43932,88073,301952,1424,2156,781
36,New York,2020,220375,177602,-168712,19336776,16333081,42458,88811,296177,1454,2199,813
37,North Carolina,2010,29905,18643,25499,9574586,7900937,32004,52450,136153,951,1250,358
37,North Carolina,2011,121039,79977,43054,9658913,7963041,32170,53531,142232,943,1246,359
37,North Carolina,2012,119579,79531,52021,9751810,7985009,33176,57058,148825,903,1209,351
37,North Carolina,2013,119380,84364,59175,9846717,8039948,33849,56789,155392,890,1205,358
37,North Carolina,2014,120184,83529,53221,9937295,8090571,34755,60143,164526,902,1224,373
37,North Carolina,2015,120819,88474,67216,10037218,8167814,35876,62644,179066,909,1234,384
37,North Carolina,2016,121074,89243,92541,10161802,8216812,36905,63658,193767,898,1225,376
37,North Carolina,2017,119793,92189,86162,10275758,8273029,38276,66564,201481,896,1242,373
37,North Carolina,2019,119140,95192,86060,10501384,8552516,38171,67694,191427,951,1318,398
37,North Carolina,2020,118855,102921,83616,10600823,8573819,38732,69612,188999,978,1387,420
38,North Dakota,2010,2343,1493,1282,674752,599084,39404,60980,83018,684,1133,378
38,North Dakota,2011,9211,6045,7542,685526,613294,41470,66261,86912,727,1155,394
38,North Dakota,2012,9883,5934,12295,702227,632143,44164,77336,91550,708,1205,394
38,North Dakota,2013,10272,6220,16379,723149,646344,45800,74719,97587,744,1207,420
38,North Dakota,2014,10977,6204,10487,738736,660990,47896,79315,105290,743,1267,433
38,North Dakota,2015,11399,6315,11548,755537,660906,48014,74353,117393,767,1297,431
38,North Dakota,2016,11406,6143,-4727,756114,656139,47353,71012,125996,759,1318,421
38,North Dakota,2017,11076,6375,-4100,756755,660073,48841,72781,134693,823,1356,434
38,North Dakota,2019,10506,6181,-648,763724,672091,49454,77638,145465,859,1430,489
38,North Dakota,2020,10509,6738,-2189,765309,664229,49772,77758,149127,874,1488,494
39,Ohio,2010,34787,26546,-5197,11539449,9868561,34710,52572,124392,963,1246,416
39,Ohio,2011,137935,110629,-20974,11545735,9836468,35281,54196,129044,955,1243,428
39,Ohio,2012,137686,111350,-20699,11550971,9806771,36510,58099,133426,925,1215,417
39,Ohio,2013,139117,114505,4819,11579692,9811149,37137,57707,138095,898,1209,425
39,Ohio,2014,139567,111892,234,11606573,9787103,38330,60710,140555,907,1211,448
39,Ohio,2015,139571,118311,-4901,11622315,9793089,39320,62151,144707,915,1228,456
39,Ohio,2016,138845,117583,-3159,11640060,9765289,39934,62807,145989,903,1211,447
39,Ohio,2017,136676,122155,11472,11665706,9780777,41474,65212,141411,896,1214,450
39,Ohio,2019,134059,120544,2057,11696507,9936691,40926,65451,126196,929,1250,478
39,Ohio,2020,133153,126835,-9843,11693217,9834853,41308,67014,128827,953,1293,503
40,Oklahoma,2010,13147,7876,2832,3760014,3091975,32258,52852,92438,747,1089,341
40,Oklahoma,2011,52564,37764,14032,3788824,3102460,33208,55768,96069,756,1108,353
40,Oklahoma,2012,52335,36978,15022,3819320,3107283,34862,61292,100390,742,1111,348
40,Oklahoma,2013,53322,38599,19602,3853891,3116368,35584,59875,105465,737,1094,353
40,Oklahoma,2014,53083,38612,10955,3879187,3125353,37096,63298,110115,752,1143,375
40,Oklahoma,2015,53501,39741,17630,3910518,3128140,37168,62436,117341,750,1159,380
40,Oklahoma,2016,53155,39291,3861,3928143,3097019,36849,60287,124854,757,1168,370
40,Oklahoma,2017,51123,40317,-5302,3933602,3098404,38284,62971,130246,760,1183,382
40,Oklahoma,2019,49382,40470,8251,3960676,3206948,36275,60137,133426,795,1231,403
40,Oklahoma,2020,49033,43466,14503,3980783,3172734,36749,60017,134696,817,1295,431
41,Oregon,2010,11877,7823,2696,3837614,3205148,34622,53722,158555,1228,1577,429
41,Oregon,2011,45391,32496,22171,3872672,3204902,35277,55443,165852,1192,1546,446
41,Oregon,2012,44921,32947,15577,3900102,3208018,36656,59461,174174,1193,1544,449
41,Oregon,2013,45000,33416,12487,3924110,3234029,37758,60112,186530,1156,1502,455
41,Oregon,2014,45471,33805,29504,3965447,3275435,39155,63648,205347,1134,1500,466
41,Oregon,2015,45669,35389,42527,4018542,3334018,40600,66806,241075,1166,1534,485
41,Oregon,2016,45655,35336,64211,4093271,3360863,41861,68743,278751,1199,1572,488
41,Oregon,2017,44612,36822,46142,4147294,3396128,43738,72410,289707,1265,1629,528
41,Oregon,2019,42172,36504,26921,4216116,3520150,42573,71022,244136,1328,1750,557
41,Oregon,2020,42070,39735,23036,4241507,3465617,44335,75368,231372,1385,1835,595
42,Pennsylvania,2010,36111,30211,4003,12711406,10979697,37032,59886,120550,968,1390,459
42,Pennsylvania,2011,142930,127734,20836,12747052,10953440,37699,61053,127731,980,1408,478
42,Pennsylvania,2012,142104,125533,7211,12769123,10882221,38959,65402,137144,971,1382,474
42,Pennsylvania,2013,141798,130942,482,12779538,10875634,39667,64810,148302,950,1373,481
42,Pennsylvania,2014,142223,126730,-1179,12792392,10848832,41025,68334,160494,968,1400,502
42,Pennsylvania,2015,141905,132748,-10918,12789838,10839318,42001,70536,175461,987,1414,513
42,Pennsylvania,2016,140389,129972,-11405,12788468,10822411,42320,70245,187392,975,1416,498
42,Pennsylvania,2017,137728,135728,4745,12794679,10850857,43977,73724,189956,996,1438,509
42,Pennsylvania,2019,134840,134010,-11023,12798883,10841432,43987,74527,179800,1005,1477,534
42,Pennsylvania,2020,133740,143283,-6331,12783254,10844091,44209,75810,176075,1038,1505,544
44,Rhode Island,2010,2871,2330,533,1053994,882617,37177,59739,170111,1555,1837,647
44,Rhode Island,2011,10998,9755,-1420,1053829,877803,37538,61579,193057,1522,1842,654
44,Rhode Island,2012,11006,9315,-580,1054893,876184,38353,64125,227094,1500,1774,657
44,Rhode Island,2013,10873,9631,-536,1055560,877896,39009,63957,266106,1429,1751,655
44,Rhode Island,2014,10726,9697,33,1056511,876895,40140,67658,308861,1425,1745,674
44,Rhode Island,2015,10874,10077,-373,1056886,880082,41480,68226,340934,1453,1730,708
44,Rhode Island,2016,10975,9828,-194,1057816,880875,42215,69295,346209,1406,1740,687
44,Rhode Island,2017,10577,10043,-1766,1056554,885958,43892,72185,326504,1506,1782,693
44,Rhode Island,2019,10459,9996,-1655,1058158,890879,44484,72002,267128,1491,1837,736
44,Rhode Island,2020,10447,10470,-1041,1057125,900251,44473,73994,263892,1602,1932,762
45,South Carolina,2010,14175,9656,5846,4635846,3776237,29861,48584,132516,838,1177,336
45,South Carolina,2011,57479,42032,21291,4672655,3798934,30262,49153,137441,823,1175,340
45,South Carolina,2012,57551,42074,30410,4719027,3798104,31487,53011,141743,801,1155,318
45,South Carolina,2013,56587,44670,35044,4766469,3831152,32358,53450,147059,786,1144,333
45,South Carolina,2014,57314,44535,46836,4826858,3859778,33348,56011,154855,786,1164,352
45,South Carolina,2015,58286,46871,57183,4896006,3908909,34508,58178,169968,807,1168,361
45,South Carolina,2016,57856,47261,56257,4963031,3946178,35371,59886,185381,806,1182,351
45,South Carolina,2017,56797,48802,55923,5027102,3982489,36912,62882,191841,796,1195,351
45,South Carolina,2019,56755,51436,60743,5157702,4157395,36596,64052,173445,844,1250,372
45,South Carolina,2020,56554,55751,59694,5218040,4187506,37013,65518,169059,855,1289,382
46,South Dakota,2010,3030,1931,883,816193,736753,35193,54239,108215,777,1151,375
46,South Dakota,2011,11790,7287,3045,823740,749239,35724,56230,116038,791,1178,405
46,South Dakota,2012,11896,7409,5529,833859,756929,37425,62860,122856,778,1174,399
46,South Dakota,2013,12055,7279,4018,842751,755508,38107,61181,130814,775,1150,420
46,South Dakota,2014,12436,7158,1559,849670,755215,40583,66137,139589,781,1201,437
46,South Dakota,2015,12262,7742,508,854663,761009,41618,66867,151256,824,1225,449
46,South Dakota,2016,12223,7750,4577,863693,764978,41802,65972,160333,834,1239,453
46,South Dakota,2017,12260,8075,5858,873732,770058,43464,66260,167688,834,1283,458
46,South Dakota,2019,11697,7455,3494,887127,791659,43428,69677,174680,912,1371,490
46,South Dakota,2020,11686,7920,1835,892717,787470,45415,77617,175984,949,1415,525
47,Tennessee,2010,19682,14301,4025,6355518,5335017,30258,50726,114269,836,1161,338
47,Tennessee,2011,78628,60184,26319,6400298,5362034,30631,51332,118898,832,1172,347
47,Tennessee,2012,80323,60654,35385,6455752,5352964,31963,55822,123419,807,1143,338
47,Tennessee,2013,80252,63481,23997,6496943,5378488,32610,55263,128203,792,1138,347
47,Tennessee,2014,80448,63582,30433,6544617,5402736,33742,58185,135622,807,1167,361
47,Tennessee,2015,81883,66114,34872,6595354,5442432,34815,60453,147591,813,1167,365
47,Tennessee,2016,81477,66665,41059,6651277,5461922,35881,62094,159572,809,1172,362
47,Tennessee,2017,80297,69118,52220,6714748,5496449,37377,64505,165325,807,1184,367
47,Tennessee,2019,80559,69815,41462,6830325,5642947,36965,65430,156103,851,1264,387
47,Tennessee,2020,80474,73874,50012,6886834,5697604,37639,67741,155108,891,1333,398
48,Texas,2010,92798,41022,42851,25241897,21516559,32590,59807,117471,1016,1402,437
48,Texas,2011,381711,168142,189677,25645504,21902259,33322,62306,123999,1001,1398,443
48,Texas,2012,378107,169190,226441,26084120,22173263,34846,68698,128931,988,1374,432
48,Texas,2013,384426,178641,187189,26479646,22496100,35772,66590,132471,961,1375,434
48,Texas,2014,394317,180742,266604,26963092,22844071,37337,71724,136385,986,1419,467
48,Texas,2015,402268,187833,289448,27468531,23172403,37878,71156,143195,1016,1453,480
48,Texas,2016,402564,188784,231361,27914064,23130581,37805,68488,152865,1014,1469,474
48,Texas,2017,389353,194127,181021,28291024,23539026,39414,74182,160871,1038,1513,484
48,Texas,2019,377278,203427,188202,28986794,24485040,38860,73932,158015,1103,1675,527
48,Texas,2020,378318,220988,216949,29360759,24661248,38001,73595,158816,1192,1765,567
49,Utah,2010,13749,3677,1504,2775413,2510394,37216,55617,152675,1208,1433,348
49,Utah,2011,51933,15011,2507,2814797,2510212,38043,56820,156500,1177,1418,369
49,Utah,2012,50438,15470,4489,2854146,2540324,39766,63207,159554,1156,1396,372
49,Utah,2013,51860,16268,9136,2898773,2573866,40909,62331,163992,1121,1377,384
49,Utah,2014,50825,16291,5244,2938327,2609561,42284,65952,174774,1134,1393,384
49,Utah,2015,50999,17263,11760,2983626,2665674,43519,68096,199952,1144,1408,391
49,Utah,2016,50845,17788,27525,3044241,2706377,44557,70413,239875,1176,1437,403
49,Utah,2017,49487,17856,27617,3103540,2749595,46370,73477,271977,1213,1467,408
49,Utah,2019,47576,18011,18620,3203383,2837208,46713,77385,235686,1303,1605,431
49,Utah,2020,47611,19080,17878,3249879,2892724,47198,81548,222979,1350,1671,480
50,Vermont,2010,1653,1326,-108,625886,555452,34945,52735,143481,1155,1445,580
50,Vermont,2011,6057,5437,701,627197,553052,35664,54934,157959,1174,1487,604
50,Vermont,2012,6088,5459,-1417,626361,552185,36553,57566,171943,1159,1478,619
50,Vermont,2013,5985,5560,-104,626603,551068,37654,58173,187116,1119,1482,629
50,Vermont,2014,6111,5602,-1331,625693,549608,39135,61762,212830,1155,1504,634
50,Vermont,2015,5978,5912,89,625810,549686,39805,62359,239338,1191,1530,653
50,Vermont,2016,5843,5812,-1458,624366,548420,40382,62754,254164,1162,1507,632
50,Vermont,2017,5750,6021,1064,625132,549440,41924,65948,257266,1176,1527,645
50,Vermont,2019,5448,5842,-361,624046,543151,43037,68906,245367,1222,1606,668
50,Vermont,2020,5331,6129,80,623347,547893,44170,70189,236565,1264,1664,729
51,Virginia,2010,25723,14652,11534,8024004,6942034,42291,69866,157881,1326,1728,409
51,Virginia,2011,102350,60455,36407,8102437,6985196,42777,71113,175174,1302,1707,415
51,Virginia,2012,102773,60213,42251,8187456,7016474,43887,74841,195437,1273,1670,396
51,Virginia,2013,102491,63446,29463,8255861,7040234,44524,73357,219235,1233,1645,414
51,Virginia,2014,102559,62616,19314,8315430,7064550,45479,76989,253963,1244,1664,435
51,Virginia,2015,103221,65251,13750,8367303,7098851,46484,78864,302867,1268,1692,457
51,Virginia,2016,104026,65337,11626,8417651,7112658,47262,79718,326190,1262,1692,449
51,Virginia,2017,100149,67942,21231,8471011,7150295,48984,83629,314847,1284,1718,447
51,Virginia,2019,98870,70037,16938,8556642,7168764,48208,84673,262464,1311,1792,478
51,Virginia,2020,98147,75821,11591,8590563,7189385,48684,86835,264470,1361,1818,494
53,Washington,2010,22233,11846,8383,6743009,5898058,40842,63547,190128,1394,1736,469
53,Washington,2011,86692,49817,47526,6827479,5933169,41536,65604,199891,1378,1733,491
53,Washington,2012,86710,49429,34188,6898599,5977852,42927,71758,210069,1356,1715,493
53,Washington,2013,87251,51307,31708,6966252,6033603,44262,71481,222696,1302,1667,498
53,Washington,2014,87370,51279,55312,7057531,6110388,46087,76600,244439,1293,1673,507
53,Washington,2015,88779,53857,74744,7167287,6231604,47583,79722,283013,1324,1704,517
53,Washington,2016,90458,54714,96690,7299961,6325742,49003,81856,325888,1353,1727,531
53,Washington,2017,88947,56064,94841,7427951,6420714,51513,87420,343453,1412,1806,569
53,Washington,2019,86235,58488,59396,7614024,6651661,52069,91849,288136,1509,1951,604
53,Washington,2020,86443,63769,56774,7693612,6598390,52673,96380,281633,1613,2110,667
54,West Virginia,2010,5100,5227,1441,1854265,1485395,31545,47949,85010,491,918,268
54,West Virginia,2011,20469,21901,3798,1856606,1483955,32313,49977,89995,508,937,279
54,West Virginia,2012,20687,21496,1795,1857446,1475686,33336,51187,98028,494,931,278
54,West Virginia,2013,20938,22249,-1273,1854768,1465135,33694,50940,110390,503,939,288
54,West Virginia,2014,20575,21654,-3060,1850569,1456578,34375,53262,122496,495,945,292
54,West Virginia,2015,20089,22757,-4513,1843332,1445058,34766,53537,137965,501,972,300
54,West Virginia,2016,19342,22458,-7766,1832435,1421392,34594,52464,149219,527,997,307
54,West Virginia,2017,18952,23139,-9547,1818683,1410866,36019,55086,156752,516,984,312
54,West Virginia,2019,17839,22767,-5744,1795263,1434706,34246,53455,147586,533,1052,321
54,West Virginia,2020,17571,24297,-3746,1784787,1416759,35045,53109,149282,576,1071,338
55,Wisconsin,2010,17549,11771,-2204,5690538,5078852,37711,56773,131929,1090,1404,497
55,Wisconsin,2011,67784,48473,-3933,5705840,5076456,38220,57984,140286,1086,1402,516
55,Wisconsin,2012,67672,47867,-4460,5720825,5071276,39225,61599,149131,1060,1376,507
55,Wisconsin,2013,66899,50034,764,5738012,5075267,40004,61346,159601,1027,1352,516
55,Wisconsin,2014,67101,49332,-2019,5753199,5067639,41590,64591,170153,1047,1373,535
55,Wisconsin,2015,67155,51257,-5838,5762927,5081255,42577,66439,181450,1034,1359,530
55,Wisconsin,2016,66843,51341,-3116,5775170,5077261,43318,67557,189218,1018,1348,517
55,Wisconsin,2017,65869,52407,4727,5793147,5088361,45180,69836,189193,1020,1358,526
55,Wisconsin,2019,63774,51828,3284,5824581,5119977,45959,72099,178971,1046,1412,545
55,Wisconsin,2020,63122,54407,-768,5832655,5092115,45932,72923,175695,1076,1464,574
56,Wyoming,2010,1986,1289,-10,564531,511062,40762,69093,116153,858,1300,350
56,Wyoming,2011,7469,4444,-65,567491,524180,40723,66072,124002,894,1269,365
56,Wyoming,2012,7439,4372,5881,576656,535177,41287,80314,135871,839,1297,365
56,Wyoming,2013,7520,4613,2947,582620,516805,44158,77421,147536,880,1330,376
56,Wyoming,2014,7723,4528,-2687,583159,514357,47482,83590,162359,887,1311,384
56,Wyoming,2015,7800,4821,262,586389,513006,47060,81297,181240,902,1364,396
56,Wyoming,2016,7706,4790,-4079,585243,502840,45583,74558,206809,904,1367,393
56,Wyoming,2017,7046,4753,-7577,579994,501094,47382,82914,229887,962,1386,399
56,Wyoming,2019,6406,4994,-348,580116,504893,48450,84487,217509,1005,1417,419
56,Wyoming,2020,6367,5464,1303,582328,505106,46807,92786,208331,1043,1490,456
