STATE,NAME,Year,BIRTHS,DEATHS,NETMIG,POPESTIMATE,Total exemptions,Median AGI,Mean AGI,AveragePrice,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars)
9,Connecticut,2020,34258,33477,-9907,3557006,3035748,51173,105917,333837,1660,2083,926
10,Delaware,2010,2843,1836,678,899647,768578,38420,59333,157558,1242,1569,428
10,Delaware,2011,11300,7872,4532,907590,770857,38840,60436,170542,1231,1567,442
10,Delaware,2012,11155,7696,4549,915518,771662,39877,63891,187999,1215,1517,419
10,Delaware,2013,10893,8086,5803,924062,776809,40478,63482,208429,1137,1504,422
10,Delaware,2014,10984,8071,6124,933131,781487,41585,66422,239901,1144,1460,439
10,Delaware,2015,11023,8543,6460,942065,788409,42395,68128,274695,1137,1506,453
10,Delaware,2016,11216,8506,5211,949989,791125,43087,68444,298793,1095,1463,438
10,Delaware,2017,10830,9051,6152,957942,799834,44809,71583,294297,1160,1507,429
10,Delaware,2019,10551,9540,8673,976668,817007,44097,71812,255679,1182,1557,463
10,Delaware,2020,10516,10368,9989,986809,823032,45123,73906,244136,1175,1585,463
11,District of Columbia,2010,2242,1181,2222,605282,457362,41863,77027,224819,1869,2297,546
11,District of Columbia,2011,9196,4667,10375,620290,466251,43101,80490,265902,1874,2224,573
11,District of Columbia,2012,9231,4534,10407,635737,473344,44899,90119,317652,1925,2262,542
11,District of Columbia,2013,9448,4813,10952,651559,480512,45774,85676,361889,1836,2236,636
11,District of Columbia,2014,9332,4649,7277,663603,487962,47308,91446,406517,1786,2194,637
11,District of Columbia,2015,9649,4883,8564,677014,497457,49324,95342,462205,1910,2312,613
11,District of Columbia,2016,9695,4852,5679,687576,503617,51022,95715,517138,1957,2422,638
11,District of Columbia,2017,9705,5136,4910,697079,509268,53299,100537,528736,1977,2432,683
11,District of Columbia,2019,9194,5417,334,708253,521530,53821,104116,481709,2215,2684,720
11,District of Columbia,2020,9155,6093,1485,712816,500754,56933,113838,490827,2196,2639,748
12,Florida,2010,50884,41760,33028,18846143,16235769,27797,50946,137338,1087,1505,470
12,Florida,2011,213199,174492,170909,19055607,16178829,28395,52715,152372,1048,1470,461
12,Florida,2012,214011,173760,204331,19302016,15907085,29813,60476,168479,992,1425,447
12,Florida,2013,212989,181594,217007,19551678,16064247,30607,58783,188201,935,1368,438
12,Florida,2014,218358,181037,261774,19853880,16262721,31928,63897,221781,933,1364,454
12,Florida,2015,221743,191082,332408,20219111,16564407,33028,66569,278354,951,1394,470
12,Florida,2016,226033,193681,374984,20627237,16540456,33511,64872,310005,958,1410,474
12,Florida,2017,222993,199773,325887,20977089,17085617,34908,71072,287864,968,1423,476
12,Florida,2019,220705,211071,228117,21492056,17733310,34952,73849,187682,1025,1530,512
12,Florida,2020,219996,230396,252717,21733312,17995316,34930,77677,182339,1105,1616,548
